0,0,10.2,20.4,30.6,40.8,51,61.2,71.4,81.6,91.8,102
18,3.72,-,-,-,-,-,-,-,-,-,-
16,3.2,7.92,10.13,11.15,-,-,-,-,-,-,-
14,2.41,7.36,9.93,11.1,11.39,11.4,11.26,11.07,10.84,10.53,10.09
12,1.58,6.26,9.2,10.7,11.19,11.32,11.21,11.02,10.76,10.45,10.02
10,0.97,5.19,8.39,10.21,10.93,11.17,11.05,10.84,10.59,10.27,9.84
8,0.46,4.07,7.43,9.63,10.64,10.98,10.87,10.66,10.41,10.07,9.65
6,0,2.94,6.25,8.81,10.15,10.65,10.56,10.32,9.97,9.56,9.04
4,,1.8,4.6,7.23,8.88,9.65,9.67,9.25,8.5,7.27,3.08
2,,0.72,2.44,4.44,5.85,6.39,5.46,0.8,-,-,-
0,-,0,0,0,0,0,0,0,0,0,0